Castanhal;n_da_castanheira;CAP;n_frutos_ouricos_produzidos;n_frutos_ouricos_acessados_pela_fauna;UC;Ano
Davi;359;;30;3;Cazumba;2020
Davi;360;;94;0;Cazumba;2020
Davi;354;;246;5;Cazumba;2020
Davi;339;;11;1;Cazumba;2020
Davi;290;;63;9;Cazumba;2020
Davi;297;;29;0;Cazumba;2020
Davi;327;;378;0;Cazumba;2020
Davi;325;;174;9;Cazumba;2020
Davi;322;;37;0;Cazumba;2020
Davi;320;;214;10;Cazumba;2020
Davi;475;;;;Cazumba;2020
Davi;476;;;;Cazumba;2020
Davi;300;;343;3;Cazumba;2020
Mariazinha;230;3.59;306;0;Cazumba;2020
Mariazinha;227;3.38;273;4;Cazumba;2020
Mariazinha;217;2.63;230;10;Cazumba;2020
Mariazinha;222;4.64;411;0;Cazumba;2020
Mariazinha;245;4.7;617;4;Cazumba;2020
Mariazinha;233;4.21;66;4;Cazumba;2020
Mariazinha;241;2.21;74;0;Cazumba;2020
Mariazinha;253;2.6;51;3;Cazumba;2020
Mariazinha;273;6.75;99;6;Cazumba;2020
Mariazinha;280;4.94;116;13;Cazumba;2020
Mariazinha;265;2.03;79;5;Cazumba;2020
Mariazinha;256;4.13;86;3;Cazumba;2020
Mariazinha;251;5.63;452;2;Cazumba;2020
Mariazinha;246;5.36;334;5;Cazumba;2020
Zequinha;616;;30;0;Cazumba;2020
Zequinha;621;;150;2;Cazumba;2020
Zequinha;626;;40;3;Cazumba;2020
Zequinha;627;;804;4;Cazumba;2020
Zequinha;641;;180;5;Cazumba;2020
Zequinha;673;;0;0;Cazumba;2020
Zequinha;683;;915;3;Cazumba;2020
Zequinha;687;;39;0;Cazumba;2020
Zequinha;691;;298;2;Cazumba;2020
Zequinha;714;;433;6;Cazumba;2020
Zequinha;717;;456;5;Cazumba;2020
Zequinha;723;;300;4;Cazumba;2020
Zequinha;727;;27;1;Cazumba;2020
Zequinha;729;;890;6;Cazumba;2020
Zequinha;731;;80;3;Cazumba;2020
Zequinha;733;;45;0;Cazumba;2020
Zequinha;735;;489;6;Cazumba;2020
Zequinha;738;;250;8;Cazumba;2020
Zequinha;740;;100;5;Cazumba;2020
Zequinha;741;;850;7;Cazumba;2020
Zequinha;748;;299;4;Cazumba;2020
Zequinha;751;;200;5;Cazumba;2020
Zequinha;753;;310;2;Cazumba;2020
Zequinha;763;;359;3;Cazumba;2020
Zequinha;764;;50;1;Cazumba;2020
Zirmão 2;767;3.45;0;0;Cazumba;2020
Zirmão 2;771;3.59;77;1;Cazumba;2020
Zirmão 2;778;3;12;0;Cazumba;2020
Zirmão 2;782;4.64;582;5;Cazumba;2020
Zirmão 2;783;3.42;284;0;Cazumba;2020
Zirmão 2;787;4.85;25;0;Cazumba;2020
Zirmão 2;795;3.74;218;15;Cazumba;2020
Zirmão 2;797;6.22;152;0;Cazumba;2020
Zirmão 2;798;3.54;620;16;Cazumba;2020
Zirmão 2;799;3.24;340;15;Cazumba;2020
Zirmão 2;807;4.61;180;5;Cazumba;2020
Zirmão 2;817;5.55;173;8;Cazumba;2020
Zirmão 2;827;0.182;9;0;Cazumba;2020
Zirmão 2;828;2.48;205;23;Cazumba;2020
Zirmão 2;841;2.04;44;0;Cazumba;2020
Zirmão 2;843;3.86;13;0;Cazumba;2020
Zirmão 2;859;5;43;1;Cazumba;2020
Zirmão 2;860;3.66;3;0;Cazumba;2020
Zirmão 2;867;5.8;110;8;Cazumba;2020
Zirmão 2;872;3.8;96;10;Cazumba;2020
Zirmão 2;876;3.7;320;17;Cazumba;2020
